Symbol	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
1	OR4F5	0	NA	NA	NA	NA	NA
2	SAMD11	0	NA	NA	NA	NA	NA
3	NOC2L	487.0486789645	0.332350338571712	0.628489146428595	0.528808397822461	0.596938371558972	0.817569313848396
4	KLHL17	7.92600788670673	2.65641819482245	1.46621354840887	1.81175395473952	0.0700242226913877	0.257412397067323
5	PLEKHN1	2.94817715893923	-4.7053715709019	3.02787691233712	-1.55401679365822	0.120180410846291	0.354790835386093
6	PERM1	5.69127189081683	-1.04856486295296	1.97863832423963	-0.529942663147354	0.596151685065876	0.817569313848396
7	HES4	0	NA	NA	NA	NA	NA
8	ISG15	550.904386404445	-0.296168099258429	0.942557426728479	-0.314217564744461	0.753355803061289	0.905699459561214
9	AGRN	3.10475072536195	1.54787867654074	3.28538780808203	0.471140324053363	0.637540530762539	0.842031287342227
10	RNF223	0	NA	NA	NA	NA	NA
11	C1orf159	70.2740980688882	1.17406192921787	1.38361984712715	0.84854371788292	0.396135236110528	0.683032731003646
12	TTLL10	0.198474270794906	1.43749408959602	3.5338115409304	0.406782895167508	0.684167450674145	NA
13	TNFRSF18	18.4649604899018	3.04605480948601	1.26207173772095	2.41353539457795	0.0157985933411617	0.092509870354882
14	TNFRSF4	35.9551016677534	2.34442054422264	1.93449434742445	1.2119035381747	0.225549307613973	0.50553019329762
15	SDF4	43.6086860213668	1.36708747735611	0.450637960513424	3.03367136625275	0.00241597453465245	0.0232289235211142
16	B3GALT6	54.367325008786	0.485974737668292	0.618846722783272	0.785290961035737	0.432282994241474	0.709733898863763
17	C1QTNF12	0.358818151383194	-0.0366447636038238	3.52789198256869	-0.0103871557816638	0.991712397800475	NA
18	UBE2J2	117.66150720527	0.866770408117416	0.624063879589432	1.38891295661537	0.164859220134207	0.422753029408479
19	SCNN1D	0.80921059645804	0.189844527742918	3.4156352305568	0.0555810310318092	0.955675576185465	NA
20	ACAP3	7.94065145387866	-0.895787887275784	1.57494655610505	-0.568773514125537	0.569509851087636	0.800233868144869
21	PUSL1	37.5261403464013	-0.462475118197155	0.940738756752116	-0.491608445891868	0.622996171620004	0.832514910225338
22	INTS11	681.316685566432	-0.0507094691637825	0.711185006874375	-0.0713027815176366	0.943156781535387	0.980199675274377
23	CPTP	15.1488963227452	-2.75427850200945	1.01908729387173	-2.70269143631982	0.00687805643191927	0.0507809842880967
24	TAS1R3	2.09995775753762	-0.167539763494282	3.30306976634751	-0.0507224416514657	0.959546693812408	0.985568226504417
25	DVL1	12.5248409426829	1.38322622905127	1.24164947058097	1.11402312957461	0.265269264103394	0.555134826088542
26	MXRA8	2.14555894869058	0.861559841459944	3.30159743567324	0.260952420228743	0.794129199376914	0.924192694655429
27	AURKAIP1	593.66119361945	-0.1494970724285	0.753745479540823	-0.198338930695243	0.842779894368953	0.942409065852642
28	CCNL2	786.366984241625	0.457763067230367	0.534731263482769	0.856061910891278	0.391963535483186	0.680216012531811
29	MRPL20	1493.89342350437	0.347531541081359	0.212916661580627	1.63224211060512	0.102628492915288	0.326359139086742
30	ANKRD65	0.20244139089604	-0.792371691881281	3.52621861264019	-0.224708612517931	0.822205964127442	NA
31	TMEM88B	0	NA	NA	NA	NA	NA
32	VWA1	0.165201952280745	1.43749408959602	3.5338115409304	0.406782895167508	0.684167450674146	NA
33	ATAD3C	15.1049664411915	1.96793562452462	1.59322828954138	1.23518747278276	0.21676074042298	0.492849698317288
