Costimonly_CD8_V7_1	Costimonly_CD8_V7_2	Costimonly_CD8_V7_3	Costimonly_CD8_V7_4	fulldel_CD8_V7_1	fulldel_CD8_V7_2	fulldel_CD8_V7_3	fulldel_CD8_V7_4
OR4F5	0	0	0	0	0	0	0	0
SAMD11	-1.75402031052589	-1.76154840850596	-1.76174971139115	-1.76212022814676	-1.76215909176664	-1.76198611278841	-1.76234681422636	-1.76211078778643
NOC2L	8.86596450711653	8.78376928405654	8.31254194609397	8.04246429080173	9.06909929355761	9.15679756232043	8.79269674011685	8.11393505403832
KLHL17	3.54666586468863	3.59544868199769	3.5596892011347	3.56716041559928	3.42120093979773	3.47887150986934	3.42721119639025	3.43511805608063
PLEKHN1	3.49407147992029	3.57871906882398	3.35572413382522	3.42211584588356	3.40815204597069	3.49808275124278	3.36130072244455	3.35533263159812
PERM1	2.61949265203808	2.61703305359097	2.60560981275815	2.58098168735533	2.69348428704047	2.65124585457087	2.66231691231101	2.58098700542872
HES4	0	0	0	0	0	0	0	0
ISG15	10.7988817086641	10.7513579859258	9.87776286273413	9.47213506281567	9.77488502007943	9.97590631135625	9.81946175107181	7.90553337462361
AGRN	0.953914795617303	0.998681191144887	0.946174306960433	0.946102069425021	0.946095217040403	0.995486014708064	0.952130208130487	0.946103753574468
RNF223	0	0	0	0	0	0	0	0
C1orf159	6.01785059390183	5.92526875955192	5.19318194576839	5.18674160407794	5.56878006964436	5.399764857273	5.99417727227572	5.16764886109954
TTLL10	0	0	0	0	0	0	0	0
TNFRSF18	3.90707773196227	3.94174290733517	3.59136244669672	3.61423233369549	3.61373341196098	3.59095780852941	3.61144712220172	3.70196538156546
TNFRSF4	5.66842281441004	5.49651994526432	4.80411254506383	4.75154703994298	4.94345201668996	4.72263885676628	5.02903150502013	4.72194718443431
SDF4	5.73084251065055	5.89260391454488	5.6772936344649	5.62470284758975	5.57217325385706	5.46011743470996	5.469215307583	5.43616051978518
B3GALT6	6.41899075578826	6.65003897339098	6.75638300743323	6.35663423658597	5.95166085547857	6.15834939205096	6.25353435753282	6.4247019813429
C1QTNF12	-1.76175341572605	-1.76148350870408	-1.76166365050069	-1.76199521829699	-1.75852667329443	-1.75837187797749	-1.76219798550238	-1.7619867703134
UBE2J2	7.1757932115288	6.90844199575317	6.83822621605021	6.65177835867447	6.83868965355561	6.87117116811749	6.83435363159373	6.44109860621042
SCNN1D	1.19049217993325	1.26840761257157	1.19899931396656	1.18265186895483	1.19593635889406	1.18268106532457	1.18260666925248	1.19626751799427
