Costimonly_CD8_V7_1	Costimonly_CD8_V7_2	Costimonly_CD8_V7_3	Costimonly_CD8_V7_4	fulldel_CD8_V7_1	fulldel_CD8_V7_2	fulldel_CD8_V7_3	fulldel_CD8_V7_4
OR4F5	0	0	0	0	0	0	0	0
SAMD11	2.08341077962917	0	0	0	0	0	0	0
NOC2L	523.977811076737	475.160673547024	259.865727721207	176.033708153799	662.716386076898	731.720560649516	480.073682603466	196.032058428871
KLHL17	17.708991626848	25.5201384769501	19.7366375484461	20.8699757089556	0	7.77392361911837	0.808204852867788	1.82355403189648
PLEKHN1	19.7924024064772	34.0268513026002	0	9.07390248215461	7.11641756861099	20.4065495001857	0.808204852867788	0
PERM1	5.20852694907293	4.86097875751431	3.28943959140768	0	16.0119395293747	9.71740452389796	11.314867940149	0
HES4	0	0	0	0	0	0	0	0
ISG15	2420.9233259291	2313.82588857681	968.19171973766	627.006661516883	869.092495566617	1071.82971898594	910.846869181997	72.0303842599108
AGRN	1.04170538981459	7.29146813627147	0	0	0	6.80218316672857	0.808204852867788	0
RNF223	0	0	0	0	0	0	0	0
C1orf159	140.630227624969	117.878734869722	2.19295972760512	1.81478049643092	48.9253707842005	25.2652517621347	134.162005576053	0
TTLL10	0	0	0	0	0	0	0	0
TNFRSF18	44.7933317620272	51.0402769539003	0	2.72217074464638	2.66865658822912	0	2.42461455860336	13.6766552392236
TNFRSF4	161.464335421261	117.878734869722	7.67535904661792	2.72217074464638	23.1283570979857	0	33.9446038204471	0
SDF4	71.8776718972065	108.156777354693	61.4028723729433	51.7212441482813	42.6985054116659	25.2652517621347	26.670760144637	21.8826483827577
B3GALT6	92.7117796934982	149.475096793565	180.919177527422	79.8503418429605	16.0119395293747	44.7000608099306	60.6153639650841	93.9130326426685
C1QTNF12	0	0	0	0	0.889552196076373	0.971740452389796	0	0
UBE2J2	215.63301569162	134.892160521022	117.323345426874	77.1281710983142	117.420889882081	125.354518358284	116.381498812962	41.0299657176707
SCNN1D	1.04170538981459	12.1524468937858	2.19295972760512	0	1.77910439215275	0	0	1.82355403189648
ACAP3	5.20852694907293	15.7981809619215	4.38591945521024	7.25912198572369	16.0119395293747	18.4630685954061	12.1230727930168	2.73533104784471
PUSL1	33.3345724740668	25.5201384769501	27.411996595064	11.796073226801	59.599997137117	46.6435417147102	92.9435580797957	10.0295471754306
INTS11	920.867564596095	817.859675951783	538.371613127057	518.119831731028	1016.75816011529	1060.16883355727	910.846869181997	341.916380980589
CPTP	53.1269748805439	25.5201384769501	16.4471979570384	10.8886829785855	41.8089532155895	20.4065495001857	58.9989542593485	5.47066209568943
TAS1R3	0	4.86097875751431	0	0	10.6746263529165	0	0	0
DVL1	8.3336431185167	6.07622344689289	6.57887918281536	16.3330244678783	6.22686537253461	0.971740452389796	24.2461455860336	1.82355403189648
MXRA8	0	0	2.19295972760512	0	0	4.85870226194898	2.42461455860336	0
AURKAIP1	981.286477205341	856.747506011898	155.700140659963	157.88590318949	936.698462468421	773.505400102277	1211.49907444881	86.6188165150826
CCNL2	1171.91856354141	758.312686172233	710.518951744059	934.611955661925	684.955190978807	852.216376745851	1057.13194755107	581.713736174976
MRPL20	1980.28194603753	1661.23949038052	2009.84759035009	2209.49525440465	1507.79097234945	1585.88041830015	1626.10816396999	1566.43291339907
ANKRD65	0	0	0	0	0	1.94348090477959	0	0
TMEM88B	0	0	0	0	0	0	0	0
VWA1	6.25023233888752	0	0	0	0	0	0	0
ATAD3C	11.4587592879605	0	0	8.16651223393915	2.66865658822912	21.3782899525755	0	5.47066209568943
ATAD3B	55.2103856601731	72.9146813627147	52.6310334625229	39.9251709214803	65.8268625096516	123.411037453504	105.87483572568	7.29421612758591
ATAD3A	30.209456304623	51.0402769539003	25.2190368674589	13.6108537232319	54.2626839606588	34.9826562860326	78.3958707281755	6.38243911163767
TMEM240	0	0	0	0	0	0	0	0
SSU72	1803.19202976905	1635.71935190357	1303.71455806124	1441.84310441437	1509.57007674161	1599.4847846336	1694.80557646375	1111.4561824409
FNDC10	4.16682155925835	9.72195751502863	1.09647986380256	0	8.00596976468736	11.6608854286775	3.23281941147115	0
MIB2	2.08341077962917	18.2286703406787	0	1.81478049643092	4.44776098038187	11.6608854286775	29.9035795561082	0
MMP23B	0	0	0	0	0	0	0	0
CDK11B	390.63952118047	359.712428056059	145.83182188574	146.997220210905	472.352216116554	526.683325195269	404.910631286762	85.7070394991344
SLC35E2B	188.54867555644	110.587266733451	254.383328402194	272.217074464638	401.188040430444	346.911341503157	345.911677027413	178.708295125855
CDK11A	36.4596886435105	10.9372022044072	5.4823993190128	1.81478049643092	11.5641785489929	7.77392361911837	7.27384367581009	15.50020927112
NADK	140.630227624969	183.501948096165	153.507180932358	125.219854253734	141.438799176143	58.3044271433877	114.765089107226	52.8830669249978
GNB1	2512.59340023278	2658.95538036033	2873.87372302651	3133.21852708799	2125.14019642646	1822.01334823087	2033.44340981536	2731.68393978092
CALML6	6.25023233888752	0	0	0	0	0	0	0
TMEM52	0	0	0	0	0	0	0	0
CFAP74	0	0	0	0	0	0	0	0
GABRD	0	0	0	0	0	0	0.808204852867788	0
PRKCZ	18.7506970166626	26.7353831663287	2.19295972760512	0	19.5701483136802	17.4913281430163	16.1640970573558	10.9413241913789
FAAP20	90.6283689138691	71.6994366733361	21.9295972760512	39.0177806732648	133.432829411456	68.9935721196755	134.162005576053	39.2064116857742
SKI	98.9620120323858	83.8518835671219	151.314221204753	120.682903012656	120.979098666387	141.87410604891	127.696366753111	112.148572961633
MORN1	12.500464677775	26.7353831663287	0	0	6.22686537253461	0.971740452389796	5.65743397007452	0
RER1	922.950975375724	837.30359098184	253.286848538391	394.714757973725	2359.09242399454	1086.40582577179	2506.24324874301	172.325856014217
PEX10	4.16682155925835	2.43048937875716	5.4823993190128	0.907390248215461	40.9194010195132	1.94348090477959	0.808204852867788	0
PLCH2	2.08341077962917	0	5.4823993190128	1.81478049643092	5.33731317645824	9.71740452389796	1.61640970573558	1.82355403189648
PANK4	382.305878061953	399.815502805552	30.7014361864717	58.9803661340049	494.591021018463	437.283203575408	574.633650388997	29.1768645103436
HES5	0	0	0	0	0	0	0	0
TNFRSF14	961.494074798864	1060.9086138275	326.750999413163	235.92146453602	649.373103135752	489.757188004457	660.303364792983	106.677910865944
PRXL2B	9.37534850833128	48.6097875751431	39.4732750968922	54.4434148929276	26.6865658822912	56.3609462386082	24.2461455860336	17.3237633030165
MMEL1	0	0	0	0	0	0	0	0
TTC34	0	19.4439150300573	13.1577583656307	0	0	0	0	0.911777015948238
ACTRT2	0	0	0	0	0	0	0	0
