Full_CD8_V7_1	Full_CD8_V7_2	Full_CD8_V7_3	Full_CD8_V7_4	fulldel_CD8_V7_1	fulldel_CD8_V7_2	fulldel_CD8_V7_3	fulldel_CD8_V7_4
OR4F5	0	0	0	0	0	0	0	0
SAMD11	0	0	0	0	0	0	0	0
NOC2L	4.7863516111945	6.18537896495204	8.27804520111589	9.18389168217038	8.95117557284324	9.06905548188979	8.58547510122629	7.6892641653106
KLHL17	2.01176575039867	2.46749745292583	2.46297967457666	3.20754960946765	2.00064440906493	2.48061068503953	2.06445648793168	2.14798625216059
PLEKHN1	1.03776219661006	1.03360614780203	1.032327850642	1.03222963517578	1.48209835842058	1.96634885285551	1.09708997734918	1.03256005790891
PERM1	1.69556052235132	1.69055264347407	1.68901734609503	1.87061408362875	2.4182585400344	2.20380206845371	2.25969052890281	1.68929606401873
HES4	0	0	0	0	0	0	0	0
ISG15	5.10241372619986	5.16118817222783	8.25418132568703	11.0730555756771	9.33305885401524	9.58071477871625	9.37785541466368	6.74624504000344
AGRN	0.0670415821633903	0.0658808708115473	0.0655275762161073	0.221138180286366	0.0654293161344862	0.405004638898248	0.114081567618225	0.065591623880443
RNF223	0	0	0	0	0	0	0	0
C1orf159	2.93751092638066	2.82051513766657	2.78044165334514	5.94705483606632	4.91345095215193	4.34569171631442	5.88525213233995	2.61577711610855
TTLL10	0	0	0	0	0	0	0	0
TNFRSF18	1.8612211449451	1.94059315788747	2.06081259147961	3.01689065927924	2.05250580130224	1.85215281355625	2.03429981120278	2.60207411300328
TNFRSF4	2.4159166841083	2.46753030545414	2.42276367352338	4.95874281276311	3.6934618623294	2.13355303902632	3.9814162251663	2.13149278319873
SDF4	4.71959878489737	4.49579711046489	5.34316683089495	5.74147237243134	5.17515345427642	4.80815489430167	4.83428015887894	4.74253097384598
B3GALT6	5.85994186726086	6.24116844667201	5.89381176060654	6.30325469638051	4.90857047611821	5.62607726448929	5.86358170579577	6.29685395491387
C1QTNF12	-1.78158771483015	-1.78641231262554	-1.78828861395455	-1.78844357738726	-1.76342270667896	-1.7622195788844	-1.790178710537	-1.78792885671006
UBE2J2	5.31475144646551	5.04992387799036	6.16236648539901	6.88308360036588	6.56149199120491	6.62972969022875	6.54579487068808	5.67280612649396
SCNN1D	-1.11557323704593	-1.12488004791007	-1.12836880209318	-1.12837739948264	-1.03876463432863	-1.12728019437422	-1.12846666941914	-1.03248406804714
ACAP3	2.77966827428139	3.0397341049741	3.61271374165038	3.63148550521642	3.50946496912432	3.58550950429619	3.37617902986501	2.95728878256
PUSL1	3.24340870628418	3.20224833357834	4.39129333014859	5.11976775475616	5.214803867312	5.01345493406893	5.60340135206806	3.9919713473117
INTS11	5.9893529221695	5.14220591929059	8.36008515328367	9.87034891431178	9.54765705208938	9.6022214956344	9.41424466340239	8.39609076329793
CPTP	2.89006316716893	2.70097775815008	2.68129922340278	2.76725190141092	4.20786645395924	3.70214845126418	4.47857689144014	3.0611620119084
TAS1R3	-0.173214930778032	-0.174676644033392	-0.175123868057953	-0.175158183209584	0.388050085076852	-0.174979868927747	-0.17551725119318	-0.175042711588485
DVL1	2.17114049720001	2.44132135355567	2.40789679257955	2.98881999106867	2.53948552630943	2.23441524793718	3.14143278876728	2.29787756618058
MXRA8	-0.376139601620436	-0.376803812110254	-0.377005365276998	-0.37702079818199	-0.377061370971981	-0.148503312610436	-0.254322971066984	-0.376968847751815
AURKAIP1	4.84319783907954	5.07357781677242	6.95834806321778	9.59037890731472	9.31713458023386	9.10487653022134	9.60554649218753	6.80638053305863
CCNL2	7.35453112073182	7.93544896083486	9.50793516786897	9.37364184284294	9.26697523776085	9.5123213722363	9.73508162812603	9.14284448114422
MRPL20	9.26378809571439	9.18394020013521	10.955765064857	10.8941621705022	10.452083757954	10.514246042787	10.5263585285293	10.5471494694935
ANKRD65	-1.78161482014542	-1.78666127545227	-1.78862385786858	-1.78878594724277	-1.78922116608867	-1.73474938106246	-1.79060086990844	-1.78824755730786
TMEM88B	0	0	0	0	0	0	0	0
VWA1	0	0	0	0	0	0	0	0
ATAD3C	1.70246405617489	1.59117358114975	1.71787335528306	1.82544120773246	1.76746256433072	2.48004646229043	1.58842989084132	1.93245883889754
ATAD3B	3.47920538669675	3.49904817644373	4.37162755553504	6.4510562301587	5.57512628984411	6.18429562407829	6.02028791093932	3.97255653669625
ATAD3A	3.55887566402173	3.90144319222909	4.90286967853917	5.66955275861887	5.24623048083158	4.89941800021735	5.5572662406635	3.91230062036591
TMEM240	-1.42582310284311	-1.43286050979286	-1.43559737959477	-1.32451245292734	-1.43643034070581	-1.43467539650903	-1.43835437186421	-1.43507261914012
SSU72	8.91194884232308	9.34174270333162	9.77651997946892	10.1868821953014	10.3711801330961	10.4421048643777	10.4908270070543	10.0885449952607
FNDC10	1.17222867524557	1.16925331645254	1.28621305846928	1.16827471472309	1.58368072374274	1.7215026648344	1.36165427620519	1.16850931020512
